BOURBACH LE BAS,68290,,,,X,,
BOURBACH LE HAUT,68290,,,,X,,
DOLLEREN,68290,,,,X,,
KIRCHBERG,68290,,,,X,,
LAUW,68290,,,,X,,
MASEVAUX,68290,,,,X,,
NIEDERBRUCK,68290,,,,X,,
OBERBRUCK,68290,,,,X,,
RIMBACH PRES MASEVAUX,68290,,,,X,,
SEWEN,68290,,,,X,,
SICKERT,68290,,,,X,,
WEGSCHEID,68290,,,,X,,
BOURGFELDEN,68300,,X,,X,,X
ST LOUIS,68300,,X,,X,,X
ST LOUIS LA CHAUSSEE,68300,,X,,X,,X
WITTELSHEIM,68310,,,X,,,X
ARTZENHEIM,68320,,X,,,X,
BALTZENHEIM,68320,,X,,,X,
BISCHWIHR,68320,,X,,,X,
DURRENENTZEN,68320,,X,,,X,
FORTSCHWIHR,68320,,X,,,X,
GRUSSENHEIM,68320,,X,,,X,
HOLTZWIHR,68320,,X,,,X,
JEBSHEIM,68320,,X,,,X,
KUNHEIM,68320,,X,,,X,
MUNTZENHEIM,68320,,X,,,X,
RIEDWIHR,68320,,X,,,X,
URSCHENHEIM,68320,,X,,,X,
WICKERSCHWIHR,68320,,X,,,X,
WIDENSOHLEN,68320,,X,,,X,
HUNINGUE,68330,,X,,X,,X
RIQUEWIHR,68340,,X,,,X,
ZELLENBERG,68340,,X,,,X,
BRUNSTATT,68350,,X,X,X,X,X
DIDENHEIM,68350,,X,X,X,X,X
SOULTZ HAUT RHIN,68360,,X,,,X,
ORBEY,68370,,X,,,X,
BREITENBACH,68380,,X,,,X,
METZERAL,68380,,X,,,X,
MITTLACH,68380,,X,,,X,
MUHLBACH SUR MUNSTER,68380,,X,,,X,
SONDERNACH,68380,,X,,,X,
BALDERSHEIM,68390,,X,X,X,X,X
BATTENHEIM,68390,,X,X,X,X,X
SAUSHEIM,68390,,X,X,X,X,X
RIEDISHEIM,68400,,X,X,X,X,X
LES TROIS EPIS,68410,,X,,,X,
EGUISHEIM,68420,,X,,,X,
GUEBERSCHWIHR,68420,,X,,,X,
HARTMANNSWILLER,68420,,X,,,X,
HATTSTATT,68420,,X,,,X,
HERRLISHEIM PRES COLMAR,68420,,X,,,X,
HUSSEREN LES CHATEAUX,68420,,X,,,X,
OBERMORSCHWIHR,68420,,X,,,X,
VOEGTLINSHOFEN,68420,,X,,,X,
BRUEBACH,68440,,X,,,X,
DIETWILLER,68440,,X,,,X,
ESCHENTZWILLER,68440,,X,,,X,
HABSHEIM,68440,,X,,,X,
LANDSER,68440,,X,,,X,
SCHLIERBACH,68440,,X,,,X,
STEINBRUNN LE BAS,68440,,X,,,X,
STEINBRUNN LE HAUT,68440,,X,,,X,
ZIMMERSHEIM,68440,,X,,,X,
LUTTERBACH,68460,,X,X,X,X,X
FELLERING,68470,,,X,,,X
HUSSEREN WESSERLING,68470,,,X,,,X
MITZACH,68470,,,X,,,X
MOLLAU,68470,,,X,,,X
RANSPACH,68470,,,X,,,X
STORCKENSOHN,68470,,,X,,,X
WESSERLING,68470,,,X,,,X
