WILDERSBACH,67130,,,,A,,
WISCHES,67130,,,,A,,
FRECONRUPT,67130,,,,A,,
HAUTE GOUTTE,67130,,,,A,,
HERSBACH,67130,,,,A,,
NETZENBACH,67130,,,,A,,
SCHWARZBACH,67130,,,,A,,
STEINBACH,67130,,,,A,,
WACKENBACH,67130,,,,A,,
WACQUENOUX,67130,,,,A,,
WALDERSBACH,67130,,,,A,,
ANDLAU,67140,,J,,A,,
BARR,67140,,J,,A,,
BERNARDVILLE,67140,,J,,A,,
BOURGHEIM,67140,,J,,A,,
EICHHOFFEN,67140,,J,,A,,
GERTWILLER,67140,,J,,A,,
HEILIGENSTEIN,67140,,J,,A,,
LE HOHWALD,67140,,J,,A,,
ITTERSWILLER,67140,,J,,A,,
MITTELBERGHEIM,67140,,J,,A,,
REICHSFELD,67140,,J,,A,,
ST PIERRE,67140,,J,,A,,
STOTZHEIM,67140,,J,,A,,
ZELLWILLER,67140,,J,,A,,
BOLSENHEIM,67150,,J,,J,,
DAUBENSAND,67150,,J,,J,,
ERSTEIN,67150,,J,,J,,
GERSTHEIM,67150,,J,,J,,
HINDISHEIM,67150,,J,,J,,
HIPSHEIM,67150,,J,,J,,
LIMERSHEIM,67150,,J,,J,,
MATZENHEIM,67150,,J,,J,,
NORDHOUSE,67150,,J,,J,,
OSTHOUSE,67150,,J,,J,,
SCHAEFFERSHEIM,67150,,J,,J,,
UTTENHEIM,67150,,J,,J,,
HAEUSERN,67150,,J,,J,,
KRAFFT,67150,,J,,J,,
ALTENSTADT,67160,,,A,,,A
BIRLENBACH,67160,,,A,,,A
BREMMELBACH,67160,,,A,,,A
CLEEBOURG,67160,,,A,,,A
DRACHENBRONN BIRLENBACH,67160,,,A,,,A
NIEDERSEEBACH,67160,,,A,,,A
OBERHOFFEN LES WBG,67160,,,A,,,A
OBERLAUTERBACH,67160,,,M,,,M
SEEBACH,67160,,,A,,,A
RIEDSELTZ,67160,,,A,,,A
ROTT,67160,,,A,,,A
SALMBACH,67160,,,M,,,M
SCHLEITHAL,67160,,,M,,,M
SIEGEN,67160,,,M,,,M
STEINSELTZ,67160,,,A,,,A
WISSEMBOURG,67160,,,A,,,A
OBERSEEBACH,67160,,,A,,,A
WEILER,67160,,,A,,,A
BERNOLSHEIM,67170,,M,,M,,
BERSTHEIM,67170,,M,,M,,
BILWISHEIM,67170,,M,,M,,
BRUMATH,67170,,M,,M,,
DONNENHEIM,67170,,M,,M,,
GEUDERTHEIM,67170,,M,,M,,
HOCHSTETT,67170,,M,,M,,
HOHATZENHEIM,67170,,M,,M,,
KRAUTWILLER,67170,,M,,M,,
KRIEGSHEIM,67170,,M,,M,,
MITTELHAUSEN,67170,,M,,M,,
MITTELSCHAEFFOLSHEIM,67170,,M,,M,,
OLWISHEIM,67170,,M,,M,,
ROTTELSHEIM,67170,,M,,M,,
WAHLENHEIM,67170,,M,,M,,
WINGERSHEIM,67170,,M,,M,,
KEFFENDORF,67170,,M,,M,,
DINSHEIM,67190,,,,A,,
GRENDELBRUCH,67190,,,,A,,
GRESSWILLER,67190,,,,A,,
HEILIGENBERG,67190,,,,A,,
MOLLKIRCH,67190,,,,A,,
MUTZIG,67190,,,,A,,
ROSHEIM,67190,,,,A,,
STILL,67190,,,,A,,
STRASBOURG,67200,,J,,J,J,
ECKBOLSHEIM,67201,,J,,J,J,
WOLFISHEIM,67202,,J,,J,J,
OBERSCHAEFFOLSHEIM,67203,,J,,J,J,
ACHENHEIM,67204,,J,,J,J,
OBERHAUSBERGEN,67205,,J,,J,J,
MITTELHAUSBERGEN,67206,,J,,J,J,
NIEDERHAUSBERGEN,67207,,J,,J,J,
BERNARDSWILLER,67210,,,,A,,
GOXWILLER,67210,,,,A,,
MEISTRATZHEIM,67210,,,,A,,
NIEDERNAI,67210,,,,A,,
OBERNAI,67210,,,,A,,
VALFF,67210,,,,A,,
ALBE,67220,,J,,A,,
BASSEMBERG,67220,,J,,A,,
BREITENAU,67220,,J,,A,,
BREITENBACH,67220,,J,,A,,
DIEFFENBACH AU VAL,67220,,J,,A,,
FOUCHY,67220,,J,,A,,
LALAYE,67220,,J,,A,,
MAISONSGOUTTE,67220,,J,,A,,
NEUBOIS,67220,,J,,A,,
NEUVE EGLISE,67220,,J,,A,,
ST MARTIN,67220,,J,,A,,
ST MAURICE,67220,,J,,A,,
ST PIERRE BOIS,67220,,J,,A,,
STEIGE,67220,,J,,A,,
THANVILLE,67220,,J,,A,,
TRIEMBACH AU VAL,67220,,J,,A,,
URBEIS,67220,,J,,A,,
VILLE,67220,,J,,A,,
CHARBES,67220,,J,,A,,
HOHWART,67220,,J,,A,,
WAGENBACH,67220,,J,,A,,
BENFELD,67230,,J,,M,,
DIEBOLSHEIM,67230,,J,,M,,
HERBSHEIM,67230,,J,,M,,
HUTTENHEIM,67230,,J,,M,,
KERTZFELD,67230,,J,,M,,
KOGENHEIM,67230,,J,,M,,
OBENHEIM,67230,,J,,M,,
ROSSFELD,67230,,J,,M,,
SAND,67230,,J,,M,,
SERMERSHEIM,67230,,J,,M,,
WESTHOUSE,67230,,J,,M,,
WITTERNHEIM,67230,,J,,M,,
BISCHWILLER,67240,,M,,M,,
GRIES,67240,,M,,M,,
KALTENHOUSE,67240,,M,,M,,
KURTZENHOUSE,67240,,M,,M,,
OBERHOFFEN SUR MODER,67240,,M,,M,,
SCHIRRHEIN,67240,,M,,M,,
SCHIRRHOFFEN,67240,,M,,M,,
CAMP D OBERHOFFEN,67240,,M,,M,,
ASCHBACH,67250,,,J,,,J
HERMERSWILLER,67250,,,J,,,J
HOFFEN,67250,,,J,,,J
HOHWILLER,67250,,,J,,J,
HUNSPACH,67250,,,J,,J,
INGOLSHEIM,67250,,,J,,J,
KEFFENACH,67250,,,J,,J,
KUTZENHAUSEN,67250,,,J,,J,
LAMPERTSLOCH,67250,,,J,,J,
LEITERSWILLER,67250,,,J,,,J
LOBSANN,67250,,,J,,J,
MEMMELSHOFFEN,67250,,,J,,J,
MERKWILLER PECHELBRONN,67250,,,J,,J,
OBERROEDERN,67250,,,J,,J,
PREUSCHDORF,67250,,,J,,J,
RETSCHWILLER,67250,,,J,,J,
SCHOENENBOURG,67250,,,J,,J,
SOULTZ SOUS FORETS,67250,,,J,,J,
STUNDWILLER,67250,,,J,,J,
SURBOURG,67250,,,J,,J,
HOELSCHLOCH,67250,,,J,,J,
OBERKUTZENHAUSEN,67250,,,J,,J,
ALTWILLER,67260,,,J,,,J
BISSERT,67260,,,J,,,J
BURBACH,67260,,,J,,,J
DIEDENDORF,67260,,,J,,,J
HARSKIRCHEN,67260,,,J,,,J
HERBITZHEIM,67260,,,J,,,J
HINSINGEN,67260,,,J,,,J
KESKASTEL,67260,,,J,,,J
BISCHTROFF SUR SARRE,67260,,,J,,,J
RIMSDORF,67260,,,J,,,J
SARRE UNION,67260,,,J,,,J
SARREWERDEN,67260,,,J,,,J
SCHOPPERTEN,67260,,,J,,,J
SILTZHEIM,67260,,,J,,,J
WOLFSKIRCHEN,67260,,,J,,,J
ZOLLINGEN,67260,,,J,,,J
ALTECKENDORF,67270,,,J,,,J
BOSSENDORF,67270,,,J,,,J
DUNTZENHEIM,67270,,,J,,,J
DURNINGEN,67270,,,J,,,J
GEISWILLER,67270,,,J,,,J
GINGSHEIM,67270,,,J,,,J
GOUGENHEIM,67270,,,J,,,J
HOCHFELDEN,67270,,,J,,,J
HOHFRANKENHEIM,67270,,,J,,,J
HUTTENDORF,67270,,,J,,,J
INGENHEIM,67270,,,J,,,J
KIENHEIM,67270,,,J,,,J
LIXHAUSEN,67270,,,J,,,J
MELSHEIM,67270,,,J,,,J
MINVERSHEIM,67270,,,J,,,J
MUTZENHOUSE,67270,,,J,,,J
ROHR,67270,,,J,,,J
SAESSOLSHEIM,67270,,,J,,,J
SCHAFFHOUSE SUR ZORN,67270,,,J,,,J
SCHERLENHEIM,67270,,,J,,,J
SCHWINDRATZHEIM,67270,,,J,,,J
WICKERSHEIM WILSHAUSEN,67270,,,J,,,J
WILSHAUSEN,67270,,,J,,,J
WILWISHEIM,67270,,,J,,,J
ZOEBERSDORF,67270,,,J,,,J
NIEDERHASLACH,67280,,,,A,,
OBERHASLACH,67280,,,,A,,
URMATT,67280,,,,A,,
ERCKARTSWILLER,67290,,,J,,,J
FROHMUHL,67290,,,J,,,J
HINSBOURG,67290,,,J,,,J
LOHR,67290,,,J,,,J
PETERSBACH,67290,,,J,,,J
LA PETITE PIERRE,67290,,,J,,,J
PUBERG,67290,,,J,,,J
ROSTEIG,67290,,,J,,,J
STRUTH,67290,,,J,,,J
TIEFFENBACH,67290,,,J,,,J
VOLKSBERG,67290,,,J,,,J
WEISLINGEN,67290,,,J,,,J
WIMMENAU,67290,,,J,,,J
WINGEN SUR MODER,67290,,,J,,,J
ZITTERSHEIM,67290,,,J,,,J
SCHILTIGHEIM,67300,,M,,M,M,
ALLENWILLER,67310,,,J,,,
BALBRONN,67310,,,J,,,
BERGBIETEN,67310,,,J,,,
COSSWILLER,67310,,,J,,,
CRASTATT,67310,,,J,,,
DAHLENHEIM,67310,,,J,,,
DANGOLSHEIM,67310,,,J,,,
FLEXBOURG,67310,,,J,,,
HOHENGOEFT,67310,,,J,,,
IRMSTETT,67310,,,J,,,
KNOERSHEIM,67310,,,J,,,
RANGEN,67310,,,J,,,
ROMANSWILLER,67310,,,J,,,
SCHARRACHBERGHEIM IRMSTETT,67310,,,J,,,
TRAENHEIM,67310,,,J,,,
WASSELONNE,67310,,,J,,,
WESTHOFFEN,67310,,,J,,,
ZEHNACKER,67310,,,J,,,
ZEINHEIM,67310,,,J,,,
BRECHLINGEN,67310,,,J,,,
ADAMSWILLER,67320,,,J,,,J
ASSWILLER,67320,,,J,,,J
BAERENDORF,67320,,,J,,,J
BERG,67320,,,J,,,J
BETTWILLER,67320,,,J,,,J
BUST,67320,,,J,,,J
DRULINGEN,67320,,,J,,,J
DURSTEL,67320,,,J,,,J
ESCHBOURG,67320,,,J,,,J
ESCHWILLER,67320,,,J,,,J
EYWILLER,67320,,,J,,,J
GOERLINGEN,67320,,,J,,,J
GUNGWILLER,67320,,,J,,,J
HIRSCHLAND,67320,,,J,,,J
KIRRBERG,67320,,,J,,,J
OTTWILLER,67320,,,J,,,J
PFALZWEYER,67320,,,J,,,J
RAUWILLER,67320,,,J,,,J
REXINGEN,67320,,,J,,,J
SCHOENBOURG,67320,,,J,,,J
SIEWILLER,67320,,,J,,,J
THAL DRULINGEN,67320,,,J,,,J
WEYER,67320,,,J,,,J
GRAUFTHAL,67320,,,J,,,J
BOSSELSHAUSEN,67330,,,J,,,J
BOUXWILLER,67330,,,J,,,J
DOSSENHEIM SUR ZINSEL,67330,,,J,,,J
ERNOLSHEIM LES SAVERNE,67330,,,J,,,J
GRIESBACH LE BASTBERG,67330,,,J,,,J
HATTMATT,67330,,,J,,,J
IMBSHEIM,67330,,,J,,,J
ISSENHAUSEN,67330,,,J,,,J
KIRRWILLER BOSSELSHAUSEN,67330,,,J,,,J
NEUWILLER LES SAVERNE,67330,,,J,,,J
NIEDERSOULTZBACH,67330,,,J,,,J
OBERMODERN ZUTZENDORF,67330,,,J,,,J
OBERSOULTZBACH,67330,,,J,,,J
RIEDHEIM,67330,,,J,,,J
UTTWILLER,67330,,,J,,,J
ZUTZENDORF,67330,,,J,,,J
OBERMODERN,67330,,,J,,,J
BISCHHOLTZ,67340,,,J,,,M
INGWILLER,67340,,,J,,,M
LICHTENBERG,67340,,,J,,,M
MENCHHOFFEN,67340,,,J,,,M
OFFWILLER,67340,,,J,,,M
REIPERTSWILLER,67340,,,J,,,M
ROTHBACH,67340,,,J,,,M
SCHILLERSDORF,67340,,,J,,,M
SPARSBACH,67340,,,J,,,M
WEINBOURG,67340,,,J,,,M
WEITERSWILLER,67340,,,J,,,M
BITSCHHOFFEN,67350,,,J,,,M
BUSWILLER,67350,,,J,,,M
DAUENDORF,67350,,,J,,,M
ENGWILLER,67350,,,J,,,M
ETTENDORF,67350,,,J,,,M
GRASSENDORF,67350,,,J,,,M
KINDWILLER,67350,,,J,,,M
MORSCHWILLER,67350,,,J,,,M
MULHAUSEN,67350,,,J,,,M
NIEDERMODERN,67350,,,J,,,M
PFAFFENHOFFEN,67350,,,J,,,M
RINGELDORF,67350,,,J,,,M
RINGENDORF,67350,,,J,,,M
SCHALKENDORF,67350,,,J,,,M
UBERACH,67350,,,J,,,M
UHLWILLER,67350,,,J,,,M
UHRWILLER,67350,,,J,,,M
LA WALCK,67350,,,J,,,M
NEUBOURG,67350,,,J,,,M
NIEDERALTDORF,67350,,,J,,,M
BIBLISHEIM,67360,,,M,,M,
DIEFFENBACH LES WOERTH,67360,,,M,,M,
DURRENBACH,67360,,,M,,M,
ESCHBACH,67360,,,M,,M,
FROESCHWILLER,67360,,,M,,M,
GOERSDORF,67360,,,M,,M,
GUNSTETT,67360,,,M,,M,
HEGENEY,67360,,,M,,M,
LANGENSOULTZBACH,67360,,,M,,M,
MITSCHDORF,67360,,,M,,M,
MORSBRONN LES BAINS,67360,,,M,,M,
OBERDORF SPACHBACH,67360,,,M,,M,
WALBOURG,67360,,,M,,M,
WOERTH,67360,,,M,,M,
AVENHEIM,67370,,,J,,,
BEHLENHEIM,67370,,,J,,,
BERSTETT,67370,,,J,,,
DINGSHEIM,67370,,,J,,,
GIMBRETT,67370,,,J,,,
GRIESHEIM SUR SOUFFEL,67370,,,J,,,
NEUGARTHEIM ITTLENHEIM,67370,,,J,,,
KLEINFRANKENHEIM,67370,,,J,,,
NEUGARTHEIM,67370,,,J,,,
OFFENHEIM,67370,,,J,,,
PFETTISHEIM,67370,,,J,,,
PFULGRIESHEIM,67370,,,J,,,
REITWILLER,67370,,,J,,,
RUMERSHEIM,67370,,,J,,,
SCHNERSHEIM,67370,,,J,,,
STUTZHEIM OFFENHEIM,67370,,,J,,,
TRUCHTERSHEIM,67370,,,J,,,
WILLGOTTHEIM,67370,,,J,,,
WINTZENHEIM KOCHERSBERG,67370,,,J,,,
WIWERSHEIM,67370,,,J,,,
WOELLENHEIM,67370,,,J,,,
ITTLENHEIM,67370,,,J,,,
LINGOLSHEIM,67380,,J,,A,,
ARTOLSHEIM,67390,,J,,A,,
BOESENBIESEN,67390,,J,,A,,
BOOTZHEIM,67390,,J,,A,,
ELSENHEIM,67390,,J,,A,,
HEIDOLSHEIM,67390,,J,,A,,
HESSENHEIM,67390,,J,,A,,
MACKENHEIM,67390,,J,,A,,
MARCKOLSHEIM,67390,,J,,A,,
OHNENHEIM,67390,,J,,A,,
RICHTOLSHEIM,67390,,J,,A,,
SAASENHEIM,67390,,J,,A,,
